t	y
1.459	6.676424
1.460	6.683582
1.461	6.690737
1.462	6.697888
1.463	6.705037
1.464	6.712182
1.465	6.719324
1.466	6.726464
1.467	6.733600
1.468	6.740732
1.469	6.747862
1.470	6.754989
1.471	6.762112
1.472	6.769232
1.473	6.776350
1.474	6.783464
1.475	6.790575
1.476	6.797683
1.477	6.804787
1.478	6.811889
1.479	6.818988
1.480	6.826083
1.481	6.833175
1.482	6.840265
1.483	6.847351
1.484	6.854434
1.485	6.861514
1.486	6.868591
1.487	6.875665
1.488	6.882736
1.489	6.889803
1.490	6.896868
1.491	6.903930
1.492	6.910988
1.493	6.918044
1.494	6.925096
1.495	6.932145
1.496	6.939192
1.497	6.946235
1.498	6.953275
1.499	6.960313
1.500	6.967347
1.501	6.974378
1.502	6.981406
1.503	6.988431
1.504	6.995453
1.505	7.002472
1.506	7.009488
1.507	7.016501
1.508	7.023511
1.509	7.030518
1.510	7.037522
1.511	7.044523
1.512	7.051521
1.513	7.058516
1.514	7.065508
1.515	7.072497
1.516	7.079483
1.517	7.086466
1.518	7.093446
1.519	7.100423
1.520	7.107397
1.521	7.114368
1.522	7.121337
1.523	7.128302
1.524	7.135264
1.525	7.142223
1.526	7.149179
1.527	7.156133
1.528	7.163083
1.529	7.170031
1.530	7.176975
1.531	7.183917
1.532	7.190855
1.533	7.197791
1.534	7.204724
1.535	7.211654
1.536	7.218580
1.537	7.225504
1.538	7.232425
1.539	7.239344
1.540	7.246259
1.541	7.253171
1.542	7.260080
1.543	7.266987
1.544	7.273890
1.545	7.280791
1.546	7.287689
1.547	7.294584
1.548	7.301476
1.549	7.308365
1.550	7.315251
1.551	7.322134
1.552	7.329015
1.553	7.335892
1.554	7.342767
1.555	7.349639
1.556	7.356508
1.557	7.363374
1.558	7.370237
1.559	7.377097
1.560	7.383955
1.561	7.390809
1.562	7.397661
1.563	7.404510
1.564	7.411356
1.565	7.418199
1.566	7.425040
1.567	7.431877
1.568	7.438712
1.569	7.445544
1.570	7.452373
1.571	7.459199
1.572	7.466022
1.573	7.472843
1.574	7.479661
1.575	7.486476
1.576	7.493288
1.577	7.500097
1.578	7.506904
1.579	7.513707
